qid	dqid	start_id	end_id	start_details	end_details	start_ts	end_ts
7	0DCBC2F5-6E27-E43F-2E95-0ED0C7263949	6125	6136	"{""goalTime"":""7:27""}"	"{""won"":false,""time"":10.283333333333,""answer"":""0 0 4 0 8 \\/\\/\\/ Correct: 468""}"	1.52716E+12	1.52716E+12
7	9DECC799-0DA3-63E1-A265-6ED65F3D8FB5	2324	2326	"{""goalTime"":""7:10""}"	"{""won"":false,""time"":10.466666666667,""answer"":""5 0 0 0 0 \\/\\/\\/ Correct: 558""}"	1.52714E+12	1.52714E+12
7	B090AD09-92D3-EDC1-8AA7-DF93E3A898B6	6663	6666	"{""goalTime"":""6:43""}"	"{""won"":false,""time"":10.866666666667,""answer"":""1 0 1 0 0 \\/\\/\\/ Correct: 425""}"	1.52717E+12	1.52717E+12
7	EADF8E9F-D6CF-898F-2B5E-BB29E73FCC19	4889	4920	"{""goalTime"":""6:13""}"	"{""won"":false,""time"":101.33333333333,""answer"":""0 0 5 0 9 \\/\\/\\/ Correct: 584""}"	1.52715E+12	1.52715E+12
7	DE8BF27A-568F-27CC-8DA8-3CB3C11F3167	5209	5218	"{""goalTime"":""8:33""}"	"{""won"":false,""time"":11.866666666667,""answer"":""0 0 4 0 0 \\/\\/\\/ Correct: 536""}"	1.52716E+12	1.52716E+12
7	A0667D2D-4D37-6C7A-1087-FA80BA344299	4898	4921	"{""goalTime"":""8:37""}"	"{""won"":false,""time"":13.2,""answer"":""0 0 7 5 5 \\/\\/\\/ Correct: 736""}"	1.52715E+12	1.52715E+12
7	5EF2D600-0C74-7C88-A360-6D60C7264D81	2402	2409	"{""goalTime"":""6:16""}"	"{""won"":false,""time"":14.25,""answer"":""0 0 4 2 5 \\/\\/\\/ Correct: 485""}"	1.52714E+12	1.52714E+12
7	BE9F6560-5FBD-9EEF-D632-273B21051C1B	988	989	"{""goalTime"":""6:13""}"	"{""won"":false,""time"":14.3,""answer"":""9 0 0 0 0 \\/\\/\\/ Correct: 571""}"	1.52713E+12	1.52713E+12
7	454597D5-B5AA-FD96-A3A7-76A7FE966E11	2555	2599	"{""goalTime"":""7:52""}"	"{""won"":false,""time"":15.383333333334,""answer"":""0 0 4 5 7 \\/\\/\\/ Correct: 517""}"	1.52714E+12	1.52714E+12
7	437B6DBD-2E9B-CCF2-D84C-5AB9EC45AABD	8419	8427	"{""goalTime"":""6:43""}"	"{""won"":false,""time"":17.866666666667,""answer"":""0 0 4 4 7 \\/\\/\\/ Correct: 449""}"	1.52718E+12	1.52718E+12
7	FB6A1F3F-BCD3-FB19-9B85-1CB315BF86D4	5246	5248	"{""goalTime"":""8:17""}"	"{""won"":false,""time"":19.183333333334,""answer"":""0 0 6 6 0 \\/\\/\\/ Correct: 661""}"	1.52716E+12	1.52716E+12
7	A16C1311-1280-6412-8F25-5A6913272A9A	566	575	"{""goalTime"":""8:28""}"	"{""won"":false,""time"":19.533333333334,""answer"":""0 1 3 0 0 \\/\\/\\/ Correct: 725""}"	1.52713E+12	1.52713E+12
7	948D5060-D3B1-DB62-770F-F478A24A0A68	943	951	"{""goalTime"":""7:52""}"	"{""won"":false,""time"":20.116666666667,""answer"":""0 0 7 5 2 \\/\\/\\/ Correct: 686""}"	1.52713E+12	1.52713E+12
7	901F8D21-AD61-33E3-658E-F6CB5CEF752D	5770	5791	"{""goalTime"":""8:30""}"	"{""won"":false,""time"":21.066666666667,""answer"":""0 0 5 4 5 \\/\\/\\/ Correct: 605""}"	1.52716E+12	1.52716E+12
7	F3D72A67-975D-7E85-D2F0-F44F5D740F20	7883	7965	"{""goalTime"":""7:19""}"	"{""won"":false,""time"":21.083333333333,""answer"":""0 0 5 7 7 \\/\\/\\/ Correct: 517""}"	1.52718E+12	1.52718E+12
7	545CF641-552B-D3DA-2374-F7A47A5D00B6	4721	4729	"{""goalTime"":""7:17""}"	"{""won"":false,""time"":24.05,""answer"":""0 0 4 7 5 \\/\\/\\/ Correct: 604""}"	1.52715E+12	1.52715E+12
7	66A1197F-85E3-E550-B2F6-173AB446EF45	5796	5804	"{""goalTime"":""6:38""}"	"{""won"":false,""time"":24.116666666667,""answer"":""9 0 0 0 0 \\/\\/\\/ Correct: 610""}"	1.52716E+12	1.52716E+12
7	845B74FB-3516-FD9C-2B99-23A4BBF665FB	3992	3998	"{""goalTime"":""8:38""}"	"{""won"":false,""time"":24.433333333333,""answer"":""0 0 2 8 8 \\/\\/\\/ Correct: 708""}"	1.52715E+12	1.52715E+12
7	12B905BC-4BCB-35A1-D934-5873EAA8AA9F	8712	8716	"{""goalTime"":""8:17""}"	"{""won"":false,""time"":24.8,""answer"":""0 0 5 7 6 \\/\\/\\/ Correct: 577""}"	1.52718E+12	1.52718E+12
7	C3C0BB08-DB55-2402-E8ED-3F0D5B944E8F	2320	2325	"{""goalTime"":""7:28""}"	"{""won"":false,""time"":24.966666666667,""answer"":""0 0 5 9 9 \\/\\/\\/ Correct: 601""}"	1.52714E+12	1.52714E+12
7	330887DE-ED81-4255-9342-133C5873F323	1784	1789	"{""goalTime"":""8:21""}"	"{""won"":false,""time"":26.166666666666,""answer"":""0 0 2 8 1 \\/\\/\\/ Correct: 521""}"	1.52713E+12	1.52713E+12
7	999413C7-6598-3562-08A7-EB74723C853C	8513	8523	"{""goalTime"":""8:55""}"	"{""won"":false,""time"":26.5,""answer"":""0 0 7 6 2 \\/\\/\\/ Correct: 642""}"	1.52718E+12	1.52718E+12
7	24EB7BF3-BB9B-133D-9DC2-B41C2EF1B3AC	1750	1766	"{""goalTime"":""7:50""}"	"{""won"":false,""time"":27.333333333333,""answer"":""0 0 3 3 1 \\/\\/\\/ Correct: 561""}"	1.52713E+12	1.52713E+12
7	158D496F-3500-C4C7-82B0-126ABC8AF3EC	7462	7473	"{""goalTime"":""6:19""}"	"{""won"":false,""time"":27.533333333333,""answer"":""0 0 0 0 9 \\/\\/\\/ Correct: 605""}"	1.52717E+12	1.52717E+12
7	64C190A8-3658-D2C0-DAE2-4845F9033621	2111	2124	"{""goalTime"":""6:12""}"	"{""won"":false,""time"":27.85,""answer"":""0 0 5 5 5 \\/\\/\\/ Correct: 536""}"	1.52714E+12	1.52714E+12
7	B4D2D653-0DD3-9A42-DB61-39CBEE19B1DB	6451	6456	"{""goalTime"":""8:51""}"	"{""won"":false,""time"":27.9,""answer"":""0 0 7 3 3 \\/\\/\\/ Correct: 734""}"	1.52717E+12	1.52717E+12
7	2CE645DD-6E2F-0366-9272-B738E4C71577	7619	7623	"{""goalTime"":""6:47""}"	"{""won"":false,""time"":29.266666666666,""answer"":""0 0 7 0 1 \\/\\/\\/ Correct: 421""}"	1.52718E+12	1.52718E+12
7	EA4A0163-D8C2-D277-CA4B-9DCF88C415AA	1764	1774	"{""goalTime"":""7:52""}"	"{""won"":false,""time"":29.316666666666,""answer"":""0 0 5 0 0 \\/\\/\\/ Correct: 639""}"	1.52713E+12	1.52713E+12
7	65ADD1E4-62C2-3DC5-3E77-386B093C13C3	8209	8219	"{""goalTime"":""7:15""}"	"{""won"":false,""time"":29.333333333333,""answer"":""0 0 4 0 9 \\/\\/\\/ Correct: 462""}"	1.52718E+12	1.52718E+12
7	02271A3F-06FB-6AB7-A538-CAFC1B0A733E	7399	7400	"{""goalTime"":""7:44""}"	"{""won"":false,""time"":29.566666666666,""answer"":""0 0 5 1 1 \\/\\/\\/ Correct: 555""}"	1.52717E+12	1.52717E+12
7	C498D081-9FCE-D715-BF0E-C2CB7D909C50	7668	7678	"{""goalTime"":""8:11""}"	"{""won"":false,""time"":30.15,""answer"":""0 8 0 1 1 \\/\\/\\/ Correct: 578""}"	1.52718E+12	1.52718E+12
7	DD8B44CE-BC16-B291-7DD1-AC30B8825E30	3640	3647	"{""goalTime"":""7:28""}"	"{""won"":false,""time"":30.183333333333,""answer"":""0 0 6 6 9 \\/\\/\\/ Correct: 660""}"	1.52714E+12	1.52714E+12
7	BE543B54-81CA-1F41-799A-D1D223DB0B9E	6372	6377	"{""goalTime"":""6:10""}"	"{""won"":false,""time"":30.183333333333,""answer"":""0 0 8 4 6 \\/\\/\\/ Correct: 586""}"	1.52716E+12	1.52717E+12
7	B23165E7-C773-4FC7-637E-667BEE135EBA	6531	6537	"{""goalTime"":""6:48""}"	"{""won"":false,""time"":30.4,""answer"":""0 0 3 6 4 \\/\\/\\/ Correct: 484""}"	1.52717E+12	1.52717E+12
7	177248D3-CB4D-0252-9F75-3A40C4112F59	1220	1226	"{""goalTime"":""7:29""}"	"{""won"":false,""time"":30.533333333333,""answer"":""0 5 2 8 0 \\/\\/\\/ Correct: 478""}"	1.52713E+12	1.52713E+12
7	9A27C39B-5FFC-B2C9-DB77-16D8A9951F9E	2341	2359	"{""goalTime"":""7:18""}"	"{""won"":false,""time"":30.65,""answer"":""0 0 8 3 3 \\/\\/\\/ Correct: 593""}"	1.52714E+12	1.52714E+12
7	937ED94A-6FDB-E815-392E-7FFB7CB25AC2	7870	7874	"{""goalTime"":""8:15""}"	"{""won"":false,""time"":30.733333333333,""answer"":""0 7 1 7 7 \\/\\/\\/ Correct: 697""}"	1.52718E+12	1.52718E+12
7	FB35CE3E-E8C5-2D0A-76D5-B7F2253854BC	8573	8577	"{""goalTime"":""7:23""}"	"{""won"":false,""time"":30.883333333333,""answer"":""0 0 6 1 4 \\/\\/\\/ Correct: 586""}"	1.52718E+12	1.52718E+12
7	8B04C447-20F1-6CC5-70BF-A2DDA6159D34	7564	7565	"{""goalTime"":""6:15""}"	"{""won"":false,""time"":31.25,""answer"":""0 6 0 1 5 \\/\\/\\/ Correct: 519""}"	1.52717E+12	1.52717E+12
7	D179B9CC-DD71-9166-0D25-7AB8715F2600	8150	8154	"{""goalTime"":""6:45""}"	"{""won"":false,""time"":32.733333333333,""answer"":""0 0 0 9 7 \\/\\/\\/ Correct: 477""}"	1.52718E+12	1.52718E+12
7	6A4166DD-D890-3C8E-2645-CE0B771715F0	4577	4582	"{""goalTime"":""8:35""}"	"{""won"":false,""time"":34.299999999999,""answer"":""0 0 5 1 6 \\/\\/\\/ Correct: 671""}"	1.52715E+12	1.52715E+12
7	D5863BD7-3008-1ED3-9B4D-EDCCABBFBF91	774	787	"{""goalTime"":""6:47""}"	"{""won"":false,""time"":34.416666666666,""answer"":""0 0 5 6 3 \\/\\/\\/ Correct: 565""}"	1.52713E+12	1.52713E+12
7	BFEB9854-A328-505B-720C-28103B2A8F23	5283	5289	"{""goalTime"":""8:27""}"	"{""won"":false,""time"":34.566666666666,""answer"":""0 1 1 3 6 \\/\\/\\/ Correct: 637""}"	1.52716E+12	1.52716E+12
7	FCBAADC4-B0AC-C587-E642-74566404E443	172	175	"{""goalTime"":""6:20""}"	"{""won"":false,""time"":34.783333333333,""answer"":""0 0 3 0 8 \\/\\/\\/ Correct: 428""}"	1.52713E+12	1.52713E+12
7	EAFE99D0-9555-E226-C410-72E2851E3B89	5444	5458	"{""goalTime"":""7:24""}"	"{""won"":false,""time"":34.949999999999,""answer"":""0 5 4 3 4 \\/\\/\\/ Correct: 578""}"	1.52716E+12	1.52716E+12
7	8B3E756E-0486-39D2-68DF-2DECA7F76274	1455	1470	"{""goalTime"":""8:40""}"	"{""won"":false,""time"":36.283333333333,""answer"":""0 5 9 9 4 \\/\\/\\/ Correct: 654""}"	1.52713E+12	1.52713E+12
7	3541F0D8-F023-DD28-06E3-203CEF21B2FE	2591	2610	"{""goalTime"":""8:17""}"	"{""won"":false,""time"":36.299999999999,""answer"":""0 0 6 6 1 \\/\\/\\/ Correct: 541""}"	1.52714E+12	1.52714E+12
7	33DFB601-B605-D958-BCC3-6ED2333EEB52	2157	2161	"{""goalTime"":""8:53""}"	"{""won"":false,""time"":37.449999999999,""answer"":""3 6 0 0 1 \\/\\/\\/ Correct: 601""}"	1.52714E+12	1.52714E+12
7	34A29754-D021-1495-62A6-9ADC5C0725E5	5918	5927	"{""goalTime"":""7:54""}"	"{""won"":false,""time"":38.616666666666,""answer"":""0 0 4 9 6 \\/\\/\\/ Correct: 616""}"	1.52716E+12	1.52716E+12
7	6364F45E-D68C-F33C-BBAC-350888F9A8C8	5852	5863	"{""goalTime"":""6:24""}"	"{""won"":false,""time"":39.066666666666,""answer"":""0 0 4 2 4 \\/\\/\\/ Correct: 425""}"	1.52716E+12	1.52716E+12
7	8B488EF8-A75E-4F7E-11D8-C2D4E38E9B00	5504	5526	"{""goalTime"":""6:18""}"	"{""won"":false,""time"":39.449999999999,""answer"":""0 0 4 1 2 \\/\\/\\/ Correct: 413""}"	1.52716E+12	1.52716E+12
7	5CA379D3-072C-6593-B2C3-E03B28358FC4	5207	5225	"{""goalTime"":""8:51""}"	"{""won"":false,""time"":39.883333333332,""answer"":""0 0 6 5 4 \\/\\/\\/ Correct: 666""}"	1.52716E+12	1.52716E+12
7	7A75ED44-CD40-DED5-CBD6-FD2FD701A993	5965	5974	"{""goalTime"":""7:10""}"	"{""won"":false,""time"":39.966666666666,""answer"":""0 0 6 1 5 \\/\\/\\/ Correct: 625""}"	1.52716E+12	1.52716E+12
7	98870FD8-59E5-C643-7B83-6D2847022104	3234	3240	"{""goalTime"":""7:16""}"	"{""won"":false,""time"":40.249999999999,""answer"":""0 7 4 0 1 \\/\\/\\/ Correct: 631""}"	1.52714E+12	1.52714E+12
7	6F09989A-A80E-D67C-A721-C495FFABA459	2074	2084	"{""goalTime"":""7:15""}"	"{""won"":false,""time"":40.983333333332,""answer"":""0 0 5 9 9 \\/\\/\\/ Correct: 530""}"	1.52713E+12	1.52714E+12
7	3F0EADE3-E66D-9611-7E70-B5695A4831D9	7044	7058	"{""goalTime"":""8:30""}"	"{""won"":false,""time"":41.033333333332,""answer"":""0 0 5 8 1 \\/\\/\\/ Correct: 582""}"	1.52717E+12	1.52717E+12
7	D0B0BB63-E070-E628-6500-0398791D9E6F	7475	7478	"{""goalTime"":""6:26""}"	"{""won"":false,""time"":42.033333333332,""answer"":""0 0 5 6 5 \\/\\/\\/ Correct: 535""}"	1.52717E+12	1.52717E+12
7	DDF4E268-54E1-5061-A89B-41C2A18A1C84	4490	4501	"{""goalTime"":""7:32""}"	"{""won"":false,""time"":43.533333333332,""answer"":""0 0 6 8 9 \\/\\/\\/ Correct: 639""}"	1.52715E+12	1.52715E+12
7	FA88649F-B08A-47F6-E619-44B8A5002750	3865	3868	"{""goalTime"":""7:44""}"	"{""won"":false,""time"":43.616666666665,""answer"":""0 0 6 8 9 \\/\\/\\/ Correct: 509""}"	1.52715E+12	1.52715E+12
7	06228633-9058-DDDE-0DFD-0DD7CBB875E3	134	145	"{""goalTime"":""8:35""}"	"{""won"":false,""time"":45.533333333332,""answer"":""0 0 5 3 8 \\/\\/\\/ Correct: 658""}"	1.52713E+12	1.52713E+12
7	608AC939-C7B2-AB71-78C4-E3BC41A785C2	4972	4983	"{""goalTime"":""7:49""}"	"{""won"":false,""time"":47.566666666665,""answer"":""0 7 0 4 9 \\/\\/\\/ Correct: 631""}"	1.52715E+12	1.52715E+12
7	4FDBC746-61D6-BA01-E2E3-BBBEFAA3B4B2	7684	7689	"{""goalTime"":""7:23""}"	"{""won"":false,""time"":47.733333333332,""answer"":""0 0 6 7 1 \\/\\/\\/ Correct: 672""}"	1.52718E+12	1.52718E+12
7	DEB22812-4A04-50F8-EA9A-989D813F89B1	7858	7860	"{""goalTime"":""8:28""}"	"{""won"":false,""time"":48.083333333332,""answer"":""0 0 6 1 2 \\/\\/\\/ Correct: 652""}"	1.52718E+12	1.52718E+12
7	42E8751F-158A-D4EF-0424-193408D87694	3249	3258	"{""goalTime"":""7:33""}"	"{""won"":false,""time"":49.266666666665,""answer"":""0 4 7 5 9 \\/\\/\\/ Correct: 478""}"	1.52714E+12	1.52714E+12
7	9BB25982-56BC-9F9C-88E2-392940281739	2598	2615	"{""goalTime"":""7:33""}"	"{""won"":false,""time"":49.633333333332,""answer"":""0 0 4 6 7 \\/\\/\\/ Correct: 468""}"	1.52714E+12	1.52714E+12
7	B8C74B1F-E64C-BD91-62D3-846F52CE5671	6424	6431	"{""goalTime"":""6:34""}"	"{""won"":false,""time"":5.0333333333333,""answer"":""0 0 3 9 4 \\/\\/\\/ Correct: 548""}"	1.52717E+12	1.52717E+12
7	B191DC7C-A429-C1F4-3F92-E47587EEC164	504	524	"{""goalTime"":""7:47""}"	"{""won"":false,""time"":50.066666666665,""answer"":""0 0 5 6 7 \\/\\/\\/ Correct: 562""}"	1.52713E+12	1.52713E+12
7	47B17133-7F11-73F8-749B-5EC6E015E6C8	2181	2202	"{""goalTime"":""7:31""}"	"{""won"":false,""time"":50.433333333332,""answer"":""0 0 6 4 5 \\/\\/\\/ Correct: 646""}"	1.52714E+12	1.52714E+12
7	A244A4AC-FB04-4155-6C21-7FACD2A254C1	473	491	"{""goalTime"":""6:46""}"	"{""won"":false,""time"":50.616666666665,""answer"":""0 0 9 5 1 \\/\\/\\/ Correct: 592""}"	1.52713E+12	1.52713E+12
7	A8109FF9-F086-79E5-F632-1A57971284F7	7649	7661	"{""goalTime"":""7:18""}"	"{""won"":false,""time"":50.766666666665,""answer"":""0 0 6 3 3 \\/\\/\\/ Correct: 634""}"	1.52718E+12	1.52718E+12
7	C1517920-6EE8-B53A-52FA-B8A3B1D53C3E	1323	1338	"{""goalTime"":""7:48""}"	"{""won"":false,""time"":50.783333333332,""answer"":""0 5 4 3 2 \\/\\/\\/ Correct: 572""}"	1.52713E+12	1.52713E+12
